StartTime: 2016-10-15 17:13:11.439
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
512.667	-0.0127	0.0068	1.0112	-0.1221	-0.1221	0.0000	0.3131	0.6976	-105.9027	51.6100	-322	-96	-426 
512.772	-0.0117	0.0054	1.0073	-0.1831	-0.1221	0.1831	0.3021	0.6812	-105.8588	51.6200	-326	-92	-432 
512.856	-0.0137	0.0034	1.0083	-0.0610	-0.0610	3.6621	0.3131	0.6757	-105.5951	51.6200	-309	-93	-441 
512.961	-0.0142	0.0200	1.0083	0.3052	0.0610	4.5776	0.3351	0.6812	-105.2545	51.6200	-325	-93	-439 
513.065	-0.0444	-0.0107	1.0063	-0.5493	-0.1221	10.8643	0.2802	0.7800	-104.4031	51.6100	-319	-89	-437 
513.170	0.0015	0.0010	1.0083	0.1221	-0.0610	6.5308	0.2856	0.6812	-103.5242	51.6100	-324	-82	-426 
513.255	0.0005	-0.0273	1.0073	0.0000	0.0000	1.8311	0.2417	0.6152	-103.3978	51.6100	-322	-76	-438 
513.360	-0.0127	0.0020	1.0088	0.2441	-0.0610	2.8076	0.3021	0.6482	-102.6343	51.6100	-327	-77	-435 
513.465	-0.0098	0.0083	1.0063	-0.6714	-0.1831	14.0381	0.2307	0.6152	-101.3049	51.6100	-317	-75	-439 
513.570	-0.0088	-0.0063	1.0078	-1.5259	-0.1221	9.0332	0.1868	0.6317	-100.4095	51.6200	-317	-73	-437 
513.654	-0.0215	0.0010	1.0093	-0.4272	-0.1221	7.5073	0.1978	0.5383	-100.0085	51.6300	-320	-66	-436 
513.758	-0.0127	0.0059	1.0107	2.6855	0.1221	14.2822	0.2856	0.5109	-99.5746	51.6200	-324	-64	-434 
513.862	-0.0156	0.0098	1.0068	0.4883	-0.0610	19.1650	0.2911	0.5438	-97.8113	51.6200	-323	-57	-431 
513.967	-0.0063	-0.0010	1.0063	-1.5869	-0.0610	7.9346	0.2637	0.5823	-96.5369	51.6200	-319	-47	-437 
514.051	0.0005	-0.0039	1.0112	0.9155	-0.0610	4.9438	0.2527	0.6207	-96.2512	51.6100	-321	-47	-435 
514.156	-0.0269	0.0054	1.0083	1.5259	0.0610	8.0566	0.2417	0.6427	-95.9656	51.6200	-316	-44	-440 
514.261	-0.0171	0.0044	1.0127	-0.4272	-0.1221	12.6953	0.2527	0.5768	-95.2460	51.6300	-317	-45	-445 
514.366	-0.0146	-0.0024	1.0093	0.1831	0.0000	8.4229	0.2527	0.6262	-94.0540	51.6300	-322	-32	-434 
514.450	0.0044	0.0117	1.0093	0.2441	0.0000	12.2681	0.2582	0.6207	-93.0377	51.6400	-322	-30	-434 
514.556	-0.0220	-0.0107	1.0078	-0.5493	-0.0610	18.4326	0.2307	0.6757	-91.9885	51.6400	-318	-28	-442 
514.660	-0.0005	0.0034	1.0073	-0.2441	-0.1221	11.4746	0.2527	0.5933	-90.8295	51.6100	-322	-18	-438 
514.765	-0.0107	0.0142	1.0073	-0.3662	-0.1221	14.3433	0.1978	0.5933	-90.3296	51.6300	-317	-13	-445 
514.870	-0.0176	-0.0049	1.0054	-0.0610	-0.1221	17.5171	0.1593	0.6042	-89.2914	51.6400	-328	-10	-446 
514.953	-0.0107	0.0093	1.0142	-0.1831	-0.1831	26.0620	0.1538	0.6097	-87.8741	51.6400	-311	-1	-441 
515.058	0.0073	0.0107	1.0054	-0.0610	-0.1831	17.2729	0.1923	0.5933	-86.1823	51.6300	-312	12	-444 
515.163	-0.0005	0.0298	1.0093	0.3052	-0.0610	15.6860	0.2087	0.6702	-84.6277	51.6300	-304	10	-434 
515.268	-0.0166	0.0171	1.0059	-0.4883	-0.2441	24.4141	0.1868	0.6482	-83.1830	51.6300	-303	21	-433 
515.352	-0.0205	0.0098	1.0107	-0.1221	-0.1221	20.0195	0.2637	0.5548	-81.9800	51.6400	-300	26	-450 
515.465	-0.0107	0.0015	1.0088	0.1831	0.0610	11.2915	0.3625	0.5878	-81.0736	51.6200	-308	28	-448 
515.561	-0.0142	0.0010	1.0078	-0.4272	-0.0610	10.6201	0.3625	0.5658	-80.3046	51.6500	-300	38	-450 
515.666	-0.0132	0.0171	1.0068	-0.3662	-0.1221	13.7329	0.3351	0.5933	-78.9972	51.6300	-295	41	-435 
515.750	-0.0234	-0.0093	1.0078	-0.4883	-0.3052	14.7095	0.2692	0.5603	-78.7170	51.6400	-282	44	-438 
515.868	-0.0107	0.0000	1.0088	0.2441	-0.0610	4.2725	0.3461	0.5823	-78.2117	51.6200	-287	45	-437 
515.961	-0.0059	-0.0205	1.0107	0.1221	-0.0610	9.6436	0.3296	0.6152	-78.0469	51.6500	-289	49	-437 
516.070	-0.0137	0.0039	1.0063	0.4883	0.1221	7.6904	0.3241	0.6317	-77.1625	51.6500	-284	50	-446 
516.150	-0.0200	-0.0044	1.0093	-0.3662	-0.1221	9.9487	0.3021	0.6757	-76.7120	51.6500	-282	52	-452 
516.253	0.0015	0.0249	1.0112	-1.1597	-0.3662	24.2310	0.2197	0.7141	-75.2563	51.6600	-277	65	-449 
516.358	0.0107	0.0049	1.0078	0.1831	0.0000	11.5356	0.2582	0.6866	-73.9545	51.6500	-275	71	-431 
516.478	-0.0063	0.0034	1.0083	0.2441	0.0000	3.6011	0.2527	0.5658	-73.6084	51.6300	-281	71	-441 
516.547	-0.0273	0.0200	1.0098	-0.3052	-0.1831	12.2070	0.2472	0.6427	-72.9547	51.6400	-273	73	-431 
516.652	-0.0220	0.0005	1.0059	-0.1221	-0.1831	10.6812	0.1978	0.6647	-71.9385	51.6500	-271	73	-441 
516.757	-0.0176	0.0034	1.0122	-0.9155	-0.0610	14.4043	0.1923	0.6757	-71.2079	51.6500	-265	87	-445 
516.882	-0.0127	0.0059	1.0093	0.3662	-0.0610	12.2070	0.1813	0.5878	-69.9280	51.6500	-264	82	-448 
516.967	-0.0308	0.0063	1.0122	0.4272	-0.0610	10.7422	0.1428	0.6482	-69.1095	51.6500	-264	98	-442 
517.051	-0.0205	0.0083	1.0098	-0.3052	-0.2441	26.5503	0.1703	0.6042	-67.6318	51.6400	-255	99	-443 
517.156	0.0161	0.0166	1.0098	-1.3428	-0.3662	20.5688	0.2087	0.5438	-64.9786	51.6500	-242	108	-438 
517.261	-0.0347	-0.0015	1.0151	0.7935	0.1221	13.0005	0.1703	0.5658	-63.7592	51.6700	-238	106	-442 
517.366	0.0063	-0.0098	1.0088	0.8545	0.2441	16.4795	0.1758	0.5548	-62.7045	51.6500	-230	112	-452 
517.450	-0.0112	0.0020	1.0093	-0.2441	-0.2441	23.5596	0.1648	0.5548	-61.0950	51.6400	-221	121	-455 
517.554	0.0171	0.0083	1.0054	0.0000	-0.1221	18.0054	0.1703	0.5054	-58.7714	51.6600	-221	123	-443 
517.659	-0.0156	0.0073	1.0132	-0.3052	-0.2441	33.2031	0.1154	0.4944	-56.5906	51.6500	-209	127	-439 
517.764	-0.0225	-0.0059	1.0112	-0.0610	-0.1221	17.7002	0.1538	0.5383	-55.1733	51.6700	-206	142	-426 
517.847	-0.0068	-0.0073	1.0068	-0.3052	-0.1831	26.2451	0.1263	0.5328	-53.2507	51.6600	-193	131	-435 
517.952	-0.0039	0.0073	1.0093	0.3662	0.0000	17.7612	0.1813	0.5603	-50.9161	51.6500	-178	140	-446 
518.057	-0.0103	-0.0024	1.0059	0.8545	0.1221	15.7471	0.1978	0.5713	-49.4055	51.6600	-174	142	-440 
518.162	-0.0098	0.0225	1.0059	0.9155	0.0000	10.0708	0.2911	0.5823	-49.0155	51.6600	-169	141	-437 
518.246	-0.0117	0.0361	1.0107	-0.8545	-0.3662	40.1611	0.2637	0.5878	-46.7853	51.6800	-158	152	-438 
518.352	-0.0107	0.0015	1.0127	-0.3052	-0.3052	40.2222	0.1263	0.5328	-43.5278	51.6500	-157	153	-427 
518.457	-0.0059	-0.0327	1.0054	-1.0986	-0.4272	58.8379	0.0110	0.4834	-39.7595	51.6700	-147	165	-437 
518.562	-0.0098	-0.0278	1.0093	-0.1831	-0.2441	43.2129	0.0385	0.4834	-34.7827	51.6700	-109	159	-439 
518.666	-0.0151	0.0039	1.0098	0.8545	-0.0610	30.0903	0.1373	0.5548	-31.1407	51.6600	-94	158	-440 
518.749	-0.0020	0.0083	1.0083	-0.3662	-0.3052	30.3345	0.1813	0.6207	-28.1580	51.6800	-74	158	-436 
518.854	-0.0107	0.0078	1.0127	-0.6104	-0.2441	23.3765	0.2252	0.6152	-26.6748	51.6600	-72	158	-438 
518.959	-0.0142	0.0098	1.0068	0.2441	-0.1221	14.8315	0.1978	0.6152	-24.6863	51.6700	-71	163	-429 
519.064	-0.0127	0.0078	1.0137	0.8545	0.0000	16.9067	0.1154	0.6042	-23.1757	51.6700	-64	158	-428 
519.148	-0.0166	0.0059	1.0088	0.6104	-0.1221	12.3291	0.1868	0.6372	-21.2750	51.6800	-54	160	-432 
519.253	-0.0215	0.0015	1.0063	-1.3428	-0.2441	19.5923	0.2252	0.6702	-20.0226	51.6700	-50	160	-440 
519.358	-0.0146	0.0146	1.0122	-1.4648	-0.3662	45.4102	0.1263	0.6866	-15.4907	51.6700	-28	150	-436 
519.462	-0.0029	0.0146	1.0068	-0.6104	-0.0610	9.6436	0.1813	0.6262	-11.2610	51.6600	-16	144	-436 
519.546	0.0044	-0.0205	1.0054	-0.4272	-0.3052	33.3862	0.1813	0.5933	-8.0145	51.6700	-8	156	-426 
519.652	-0.0293	-0.0020	1.0098	-0.4272	-0.3052	41.2598	0.1923	0.7031	-5.4163	51.6700	1	143	-427 
519.757	-0.0103	0.0151	1.0068	3.2349	1.2817	33.7524	0.7855	0.7526	-1.5106	51.6800	14	144	-428 
519.862	-0.0146	0.0049	1.0083	-1.0986	-0.3052	8.1177	0.8954	0.8130	1.1426	51.6800	15	131	-435 
519.946	0.0215	0.0073	1.0015	0.6714	-0.0610	-18.1885	0.5933	0.6427	2.2357	51.6900	25	127	-439 
520.050	-0.0215	0.0273	1.0088	-0.4272	-0.1221	0.3052	0.9613	0.8569	2.4719	51.6800	26	142	-438 
520.154	0.0132	0.0205	1.0044	-4.0283	-1.3428	1.4038	0.8240	0.7196	5.1581	51.6800	32	142	-430 
520.259	-0.0176	0.0127	1.0073	0.0000	0.0000	10.8643	0.9613	0.8350	5.4822	51.6900	25	131	-441 
520.343	-0.0220	0.0073	1.0063	1.5869	0.4272	10.3149	0.9558	0.8514	8.6517	51.6900	35	117	-439 
520.448	-0.0352	0.0161	1.0049	1.2207	0.6104	53.2837	0.9558	0.9998	10.6018	51.7000	38	118	-432 
520.553	-0.0298	0.0220	1.0054	4.3945	1.2817	15.7471	0.9064	0.8679	13.5516	51.6800	48	120	-434 
520.658	-0.0107	0.0093	1.0093	-6.1646	-1.8311	22.7051	0.5823	0.7416	17.0728	51.6800	65	113	-435 
520.763	-0.0303	-0.0298	1.0063	0.4272	0.2441	32.0435	0.9668	0.8569	21.1871	51.6800	67	101	-435 
520.848	-0.0366	0.0254	1.0020	-0.7935	-0.1221	29.7241	0.8624	0.8569	25.3729	51.6900	75	101	-425 
520.952	-0.0117	0.0059	1.0083	2.3193	0.7935	21.1182	0.5823	0.7526	30.2563	51.6800	79	85	-421 
521.057	-0.0020	0.0127	1.0088	1.5259	0.7324	24.9023	0.8240	0.8020	34.3268	51.6900	87	91	-429 
521.162	0.0156	0.0234	1.0073	0.0610	0.3662	35.1563	0.8405	0.8240	39.3201	51.7000	101	73	-427 
521.246	-0.0063	0.0190	1.0083	-4.8218	-1.3428	29.0527	0.6042	0.7251	44.8846	51.7000	110	70	-428 
521.352	-0.0054	-0.0176	1.0093	-1.5259	-0.3662	23.3765	0.5768	0.6647	49.2627	51.6900	106	54	-428 
521.455	-0.0015	0.0186	1.0098	-0.1221	0.1831	26.9775	0.9448	0.7581	52.5696	51.7000	116	54	-422 
521.560	-0.0391	0.0288	1.0059	-0.1831	0.2441	27.9541	0.9393	0.7086	57.0740	51.7000	123	41	-423 
521.644	-0.0264	0.0200	1.0093	0.1221	0.1221	19.9585	0.9448	0.7635	61.7487	51.6900	128	32	-430 
521.758	-0.0229	0.0327	1.0088	-0.3052	0.5493	52.6123	0.9064	0.6317	67.4670	51.6900	137	13	-431 
521.853	-0.0156	0.0034	1.0078	-0.3662	0.1221	28.6255	0.8185	0.6866	73.7238	51.7000	147	3	-427 
521.965	-0.0220	0.0010	1.0098	0.1221	0.0610	10.9253	0.8569	0.7031	78.3765	51.7000	143	-13	-427 
522.042	-0.0142	0.0005	1.0049	0.2441	0.1831	18.4937	0.8954	0.6592	82.7600	51.7100	145	-13	-409 
522.165	0.0078	-0.0244	1.0107	-7.2632	-2.3193	28.9307	0.3625	0.5383	87.3578	51.7000	140	-28	-418 
522.253	-0.0195	0.0107	1.0083	-0.4272	-0.1221	13.9771	0.2692	0.5603	91.2744	51.7000	152	-28	-418 
522.367	-0.0166	0.0186	1.0112	-0.1831	-0.1831	11.0474	0.2966	0.6262	94.3396	51.7200	145	-37	-423 
522.463	-0.0215	0.0166	1.0054	-0.3662	-0.1831	10.8643	0.2966	0.6427	97.2345	51.7200	160	-46	-424 
522.545	0.0000	0.0366	1.0083	0.0000	-0.1831	44.6777	0.4285	0.5768	100.5249	51.7000	161	-51	-427 
522.650	-0.0273	0.0161	1.0117	0.5493	0.0000	22.7661	0.4669	0.5768	106.3092	51.7100	159	-71	-423 
522.776	-0.0156	0.0210	1.0078	-0.2441	-0.3662	2.8076	0.5054	0.6097	110.4071	51.7100	162	-74	-416 
522.860	-0.0234	0.0244	1.0063	5.2490	1.6479	14.7705	0.9229	0.7361	113.1207	51.7300	151	-83	-419 
522.944	-0.0078	-0.0439	1.0059	0.0610	0.1221	23.5596	1.0382	0.7855	115.6641	51.7200	152	-102	-416 
523.049	-0.0381	0.0459	1.0093	-1.3428	-0.1221	36.8042	1.0602	0.8350	120.3772	51.7100	161	-109	-419 
523.155	-0.0205	0.0283	1.0024	-0.4883	0.0610	18.5547	1.0712	0.7855	124.4147	51.7100	154	-126	-430 
523.259	0.0039	-0.0093	1.0093	-0.5493	0.1831	31.2500	0.9888	0.7251	127.6007	51.7200	143	-133	-421 
523.342	-0.0176	0.0347	1.0054	-0.1831	0.1831	27.7100	1.0327	0.7361	130.6219	51.7100	147	-147	-413 
523.448	-0.0142	0.0161	1.0088	0.1221	0.0000	1.0376	0.9668	0.7196	132.3303	51.7200	144	-148	-410 
523.553	-0.0127	-0.0054	1.0088	0.3052	0.2441	27.0996	1.0052	0.7251	135.1483	51.7100	145	-159	-419 
523.658	-0.0146	0.0024	1.0068	-0.4272	0.0610	21.0571	0.9229	0.7196	138.4387	51.7100	141	-169	-427 
523.742	-0.0098	0.0435	1.0078	0.4272	0.3052	24.7803	0.9119	0.7306	142.1136	51.7100	135	-185	-425 
523.846	-0.0156	0.0010	1.0103	-0.6714	0.2441	40.6494	0.9998	0.7471	144.0033	51.7300	131	-193	-433 
523.951	-0.0176	0.0161	1.0093	-0.6104	0.1831	32.6538	0.9558	0.6757	147.6068	51.7300	133	-205	-427 
524.056	-0.0176	0.0210	1.0088	-0.5493	0.0000	28.2593	0.9723	0.7141	149.9304	51.7300	122	-210	-422 
524.139	-0.0078	0.0273	1.0107	-0.4272	0.1221	24.9023	1.0217	0.7635	152.7374	51.7000	111	-221	-421 
524.244	-0.0176	0.0327	1.0083	-0.1831	0.0610	20.8130	1.0217	0.7196	154.8962	51.7100	111	-231	-417 
524.349	-0.0137	0.0420	1.0078	-1.0376	0.1221	41.3208	0.9558	0.7086	157.0111	51.7200	109	-235	-419 
524.454	-0.0127	0.0073	1.0078	-0.3052	0.2441	30.0293	1.0876	0.7031	161.0211	51.7200	96	-250	-424 
524.559	-0.0225	0.0078	1.0073	-0.1221	0.0610	11.2305	1.0382	0.7031	162.0868	51.7300	87	-255	-417 
524.644	-0.0137	0.0249	1.0059	-0.3052	0.0610	14.6484	1.0052	0.7196	163.1580	51.7300	87	-261	-423 
524.749	-0.0254	0.0215	1.0093	0.4883	0.1221	18.3105	1.0876	0.7581	164.6631	51.7400	84	-262	-426 
524.854	0.0044	0.0288	1.0088	-0.4272	0.1831	30.2734	1.0107	0.8020	166.9647	51.7300	79	-269	-421 
524.958	0.0010	0.0356	1.0088	-0.6714	0.1221	41.5039	1.0052	0.8130	169.3762	51.7300	65	-279	-427 
525.042	-0.0088	0.0269	1.0078	-1.6479	-0.1221	26.0620	1.0602	0.7800	171.4526	51.7300	54	-286	-426 
525.146	-0.0225	0.0171	1.0088	-0.9766	0.0610	33.5083	0.9338	0.7855	173.9795	51.7300	45	-297	-431 
525.251	-0.0107	0.0283	1.0078	0.4272	0.0610	7.3242	0.9448	0.6976	175.4187	51.7500	39	-297	-415 
525.356	-0.0220	0.0200	1.0078	-0.1831	-0.0610	11.1694	0.9448	0.7141	176.3031	51.7400	27	-301	-425 
525.440	-0.0098	0.0093	1.0098	-0.4272	0.1221	24.2920	0.9448	0.7306	178.3630	51.7400	16	-290	-416 
525.545	-0.0439	0.0254	1.0083	-0.8545	0.0610	30.1514	0.9174	0.8020	-179.4672	51.7500	16	-304	-426 
525.650	-0.0015	0.0117	1.0083	-0.1831	0.1831	22.0947	0.9174	0.7471	-177.6709	51.7400	6	-312	-432 
525.754	-0.0083	0.0010	1.0098	-0.3052	0.0610	18.4937	0.9064	0.6812	-176.3800	51.7400	7	-315	-429 
525.838	-0.0098	0.0396	1.0078	-0.6104	0.0000	29.2969	0.8899	0.6866	-174.5453	51.7400	-8	-318	-424 
525.944	-0.0269	0.0215	1.0063	-0.3662	0.0610	22.4609	0.9283	0.6921	-172.7435	51.7300	-9	-323	-419 
526.049	-0.0015	0.0142	1.0103	0.0000	0.1221	17.6392	0.9119	0.6976	-170.8319	51.7400	-29	-323	-423 
526.154	-0.0137	0.0063	1.0059	-5.1270	-1.6479	5.3101	0.6317	0.5933	-170.4309	51.7600	-39	-327	-429 
526.259	-0.0103	0.0083	1.0083	0.2441	0.0610	0.2441	0.4559	0.5383	-170.7440	51.7400	-32	-338	-432 
526.342	-0.0103	0.0088	1.0068	-0.0610	-0.0610	0.0610	0.4559	0.5603	-171.2659	51.7500	-37	-323	-431 
526.446	-0.0127	0.0073	1.0078	0.3052	0.0000	0.0610	0.4669	0.5823	-171.5955	51.7500	-33	-333	-435 
526.551	-0.0122	0.0078	1.0088	2.1362	0.4883	0.1221	0.5054	0.6042	-171.8976	51.7400	-33	-329	-425 
526.656	-0.0151	0.0132	1.0044	0.9155	0.1831	15.8081	0.4614	0.5933	-171.5790	51.7500	-35	-325	-429 
526.740	-0.0098	-0.0146	1.0088	0.9155	0.3052	14.9536	0.5658	0.6207	-169.9310	51.7400	-41	-323	-435 
526.845	-0.0103	0.0068	1.0073	-0.4883	-0.1831	0.5493	0.5823	0.6372	-169.7003	51.7300	-45	-333	-433 
526.950	-0.0142	0.0176	1.0093	-0.4272	-0.1831	1.6479	0.6427	0.6592	-169.7498	51.7500	-38	-330	-432 
527.055	0.0024	-0.0479	1.0156	3.3569	1.2207	26.5503	0.8020	0.6921	-167.7283	51.7600	-62	-338	-428 
527.139	-0.0107	0.0073	1.0068	0.6104	0.2441	6.2256	0.7141	0.6812	-166.6351	51.7600	-60	-332	-438 
527.244	-0.0142	-0.0146	1.0093	0.4272	0.3052	24.4141	0.6207	0.6372	-165.1685	51.7600	-72	-326	-428 
527.349	-0.0254	0.0200	1.0107	0.0000	0.3662	50.4761	0.8295	0.6317	-163.0042	51.7400	-78	-328	-424 
527.454	-0.0117	0.0049	1.0063	-0.4272	0.2441	44.7998	0.7471	0.6152	-160.3125	51.7600	-101	-339	-425 
527.538	-0.0332	0.0557	1.0093	-1.0376	-0.1221	32.1655	0.8405	0.6647	-157.4011	51.7300	-100	-328	-436 
527.652	-0.0015	-0.0181	1.0073	-1.0986	0.0610	34.1187	0.7471	0.6427	-156.2915	51.7700	-119	-327	-435 
527.747	-0.0210	0.0386	1.0039	-1.7090	-0.3052	25.1465	0.7690	0.6372	-154.4293	51.7600	-128	-326	-430 
527.853	-0.0190	0.0269	1.0103	-0.9155	-0.1831	21.1182	0.8075	0.6482	-152.9242	51.7500	-132	-318	-424 
527.936	-0.0259	-0.0010	1.0117	4.2725	1.4648	28.3203	0.6592	0.6866	-151.2488	51.7600	-149	-317	-425 
528.054	-0.0352	0.0005	1.0093	-0.8545	-0.3052	26.3062	0.5658	0.6427	-149.2657	51.7500	-151	-325	-433 
528.145	-0.0181	0.0229	1.0103	-0.4272	-0.1831	23.1934	0.5273	0.6152	-147.6617	51.7800	-169	-327	-437 
528.257	-0.0020	0.0112	1.0098	3.1128	1.0376	27.2827	0.6592	0.6097	-146.0303	51.7600	-174	-320	-438 
528.355	-0.0205	-0.0137	1.0093	-3.2959	-0.9766	18.9819	0.4724	0.5878	-145.2448	51.7600	-176	-314	-434 
528.460	-0.0098	0.0044	1.0083	0.0610	0.0000	7.4463	0.4065	0.5658	-144.7943	51.7600	-187	-315	-441 
528.545	-0.0049	0.0054	1.0068	-0.4272	-0.1221	6.5308	0.4065	0.5548	-144.5416	51.7600	-197	-299	-431 
528.664	-0.0015	0.0049	1.0063	-0.6104	0.0000	4.8828	0.4010	0.5933	-144.2230	51.7700	-190	-306	-440 
528.755	-0.0254	0.0518	1.0107	-0.6104	-0.1221	28.7476	0.2582	0.5603	-143.2288	51.7600	-198	-298	-434 
528.838	0.0278	0.0884	1.0049	1.0376	-0.0610	17.7002	0.4065	0.5933	-142.0642	51.7400	-193	-295	-439 
528.942	-0.0132	0.0132	1.0063	-0.9766	-0.1831	23.1323	0.4889	0.6482	-140.8557	51.7600	-203	-293	-445 
529.069	-0.0244	0.0010	1.0093	4.8218	1.5869	20.5688	0.7031	0.8075	-139.1199	51.7900	-219	-283	-433 
529.152	-0.0337	0.0415	1.0103	-1.2207	-0.3052	18.4326	0.7196	0.7306	-137.3511	51.7800	-229	-281	-439 
529.236	-0.0181	-0.0024	1.0088	-0.2441	0.0000	17.2729	0.5109	0.6757	-136.2634	51.7800	-230	-282	-430 
529.341	0.0107	-0.0039	1.0078	2.6245	0.9155	27.9541	0.4340	0.6042	-134.7913	51.7700	-228	-278	-436 
529.446	-0.0088	0.0059	1.0063	1.7700	0.4883	11.9629	0.7416	0.6317	-132.9620	51.7900	-241	-263	-443 
529.551	-0.0181	0.0317	1.0073	0.5493	0.0610	12.8784	0.9174	0.6482	-132.2644	51.7800	-252	-264	-448 
529.634	-0.0039	-0.0034	1.0063	-0.2441	0.1831	33.0200	0.9723	0.6482	-130.7483	51.7700	-257	-261	-441 
529.740	-0.0103	0.0044	1.0063	-0.1831	0.0610	12.9395	0.9888	0.6757	-128.8477	51.7900	-257	-245	-431 
529.845	-0.0205	0.0405	1.0083	-0.7935	0.1831	38.3911	0.8954	0.6921	-128.1226	51.7800	-265	-243	-437 
529.950	-0.0161	0.0039	1.0093	-0.1831	0.1221	23.7427	0.8679	0.6592	-124.9475	51.7700	-274	-226	-434 
530.055	-0.0156	0.0234	1.0073	-0.1221	0.1221	24.1699	0.9283	0.6482	-122.6678	51.7700	-283	-223	-445 
530.139	-0.0073	-0.0303	1.0098	-0.1221	0.1221	16.6626	0.9558	0.6757	-121.8494	51.7800	-278	-216	-448 
530.243	-0.0156	0.0298	1.0083	-0.3662	0.1831	26.2451	1.0492	0.7086	-119.8993	51.7600	-284	-200	-448 
530.348	-0.0439	0.0059	1.0068	-1.0376	0.3662	61.7676	0.7581	0.7086	-117.2131	51.7700	-297	-185	-437 
530.452	-0.0122	0.0142	1.0078	0.7324	0.1831	11.9019	0.8459	0.6812	-115.0159	51.7900	-297	-177	-441 
530.536	-0.0073	-0.0137	1.0093	-0.3052	0.1221	25.7568	0.8185	0.6976	-113.8623	51.7700	-311	-171	-433 
530.641	-0.0068	-0.0073	1.0083	-0.7935	0.0000	13.2446	0.9064	0.7141	-113.4723	51.7700	-308	-164	-434 
530.746	-0.0049	-0.0088	1.0068	0.1831	0.0610	11.8408	0.9448	0.7251	-112.4396	51.7900	-306	-158	-450 
530.851	-0.0112	-0.0078	1.0156	0.6104	0.1831	20.4468	0.9943	0.7471	-111.9452	51.7800	-319	-157	-445 
530.935	-0.0195	0.0347	1.0093	-0.1221	0.0610	11.2915	0.9723	0.8130	-110.2917	51.7700	-320	-144	-452 
531.041	-0.0142	0.0186	1.0098	-0.1221	-0.0610	0.3662	1.0052	0.7361	-107.4188	51.7800	-316	-138	-440 
531.146	-0.0171	0.0264	1.0005	-0.2441	0.1831	21.9727	1.1371	0.7855	-106.8036	51.7900	-310	-130	-440 
531.250	-0.0195	0.0161	1.0059	0.0000	0.1221	19.8975	1.2085	0.8185	-105.0403	51.7800	-318	-118	-444 
531.334	-0.0142	0.0161	1.0063	0.7324	0.1221	2.2583	1.0437	0.7910	-103.5297	51.7800	-321	-115	-451 
531.438	-0.0181	0.0244	1.0107	-0.5493	0.1831	30.0293	0.9778	0.7690	-102.6947	51.8000	-331	-101	-441 
