StartTime: 2016-10-15 17:13:11.439
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
510.864	-0.0112	0.0078	1.0068	0.1221	0.0000	0.0610	0.4010	0.6812	-105.7214	51.5800	-319	-97	-441 
510.969	-0.0132	0.0083	1.0093	-0.0610	-0.0610	0.0000	0.4285	0.6866	-105.7434	51.5900	-323	-97	-441 
511.074	-0.0132	0.0078	1.0103	0.2441	0.0000	0.0610	0.4395	0.6866	-105.7269	51.5800	-319	-101	-443 
511.157	-0.0127	0.0049	1.0068	0.3662	0.0610	0.0610	0.4340	0.6921	-105.7214	51.5900	-321	-95	-441 
511.262	-0.0137	0.0063	1.0103	-0.1221	0.0000	0.0610	0.4120	0.6921	-105.7489	51.6000	-320	-98	-436 
511.367	-0.0127	0.0063	1.0088	0.0000	0.0000	0.0610	0.4010	0.6921	-105.6885	51.6000	-322	-96	-432 
511.472	-0.0127	0.0073	1.0093	-0.0610	-0.0610	-0.0610	0.4120	0.7031	-105.5676	51.5900	-320	-94	-422 
511.555	-0.0132	0.0059	1.0083	0.0000	0.0000	0.0610	0.3900	0.6976	-105.6500	51.6000	-328	-96	-434 
511.660	-0.0122	0.0088	1.0088	-0.0610	0.0000	0.0610	0.3955	0.7031	-105.6610	51.5900	-318	-98	-444 
511.765	-0.0132	0.0068	1.0103	0.1831	0.0000	0.0000	0.3845	0.7086	-105.7544	51.6000	-318	-100	-434 
511.870	-0.0132	0.0068	1.0098	-0.2441	-0.0610	0.0000	0.3735	0.7086	-105.7928	51.6000	-308	-92	-432 
511.955	-0.0132	0.0063	1.0078	-0.2441	-0.0610	0.0000	0.3516	0.7086	-105.7434	51.6000	-329	-101	-431 
512.060	-0.0112	0.0059	1.0083	0.0000	0.0000	0.0610	0.3625	0.7086	-105.7104	51.6100	-321	-89	-433 
512.165	-0.0137	0.0078	1.0063	0.0000	0.0000	0.0610	0.3680	0.7086	-105.6940	51.6100	-319	-91	-433 
512.270	-0.0122	0.0068	1.0083	0.1221	-0.0610	0.0000	0.3680	0.7086	-105.7928	51.6000	-315	-103	-447 
512.353	-0.0122	0.0054	1.0068	-0.3052	-0.1221	0.0000	0.3571	0.7031	-105.9247	51.6100	-322	-102	-438 
512.457	-0.0127	0.0063	1.0059	-0.3662	-0.1221	0.0000	0.3516	0.7086	-105.9137	51.6000	-328	-92	-430 
512.562	-0.0132	0.0054	1.0083	-0.1221	0.0000	0.0000	0.3241	0.7031	-105.9631	51.6000	-318	-94	-428 
